,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,"
 Lucian",36,123,80%,19,17,53%,3.4,4.2,30:55,8.7,491,423,3.8,314,-154
1,"
 Akali",23,126,75%,13,10,57%,3.9,3.6,30:14,8.1,508,416,2.4,387,159
2,"
 Leona",94,36,66%,59,35,63%,3.0,6.5,31:30,1.1,129,241,0.4,116,-14
3,"
 Miss Fortune",76,51,64%,47,29,62%,4.6,4.4,31:41,9.6,531,444,5,133,174
4,"
 Nautilus",78,34,57%,36,42,46%,2.1,6.7,31:54,1.5,159,237,-3,-198,-106
5,"
 Syndra",45,61,54%,19,26,42%,2.6,5.4,31:17,8.4,477,380,2.7,-88,-166
6,"
 Irelia",28,74,52%,17,11,61%,4.0,5.1,29:46,8.8,382,426,7.8,641,4
7,"
 Senna",58,40,49%,29,29,50%,5.2,4.8,30:51,7.2,467,383,-6.9,-98,-134
8,"
 LeBlanc",26,68,47%,13,13,50%,4.4,6.7,30:51,7.4,498,380,-6.5,-171,17
9,"
 Lee Sin",64,25,45%,33,31,52%,3.2,5.9,30:50,5.0,206,318,-4.2,-180,-67
10,"
 Mordekaiser",48,41,45%,26,22,54%,2.4,7.2,31:53,7.7,464,387,1.8,70,282
11,"
 Qiyana",28,61,45%,20,8,71%,3.9,4.0,31:27,7.2,393,385,-3.4,227,-241
12,"
 Ryze",36,49,43%,18,18,50%,3.0,5.1,31:18,9.2,471,417,9.5,225,105
13,"
 Olaf",23,61,42%,6,17,26%,1.8,3.9,31:30,5.4,243,309,5,-100,-194
14,"
 Gangplank",26,56,41%,14,12,54%,3.6,5.4,31:13,8.9,631,457,15.3,1128,515
15,"
 Elise",38,43,41%,21,17,55%,3.6,5.3,32:28,5.2,311,336,-3.7,121,172
16,"
 Ornn",47,34,41%,29,18,62%,3.8,7.6,31:49,6.6,370,339,-9.4,-507,-56
17,"
 Camille",33,45,39%,19,14,58%,2.5,6.1,29:56,7.9,432,410,0.4,221,-86
18,"
 Renekton",37,40,39%,21,16,57%,2.4,6.1,30:39,8.1,324,387,10.3,61,182
19,"
 Pantheon",30,45,38%,13,17,43%,2.5,4.2,30:48,5.6,301,337,-7.9,292,-95
20,"
 Thresh",38,35,37%,9,29,24%,2.2,6.9,31:28,1.1,126,224,1.3,-24,-80
21,"
 Graves",34,37,36%,19,15,56%,3.7,4.3,30:45,6.9,370,379,2.9,180,65
22,"
 Cassiopeia",19,49,34%,10,9,53%,2.7,4.0,31:10,8.3,393,393,6.9,89,181
23,"
 Gragas",39,25,32%,26,13,67%,4.7,6.0,30:52,5.1,352,330,-3.5,10,42
24,"
 Tahm Kench",45,19,32%,21,24,47%,2.6,6.7,31:26,1.1,120,225,3.9,112,126
25,"
 Hecarim",30,32,31%,17,13,57%,3.0,3.9,30:54,6.0,353,372,-4.6,112,-174
26,"
 Aatrox",48,12,30%,19,29,40%,1.9,7.1,31:52,7.8,341,363,2.8,45,392
27,"
 RekSai",34,22,28%,15,19,44%,3.6,7.0,31:58,5.3,256,337,0.4,331,184
28,"
 Shen",34,18,26%,16,18,47%,3.8,5.8,31:39,4.1,226,307,-4.3,-231,-204
29,"
 Orianna",34,15,25%,22,12,65%,5.9,8.1,32:08,8.2,563,408,11.6,-21,345
30,"
 Jhin",37,12,25%,19,18,51%,4.2,5.8,31:15,8.0,496,408,-1.3,94,45
31,"
 Vladimir",10,37,24%,5,5,50%,2.7,3.5,31:50,8.9,589,400,7,-284,-60
32,"
 Nidalee",24,20,22%,8,16,33%,2.5,4.6,30:13,6.7,393,368,13.6,206,653
33,"
 Xayah",32,12,22%,11,21,34%,2.5,7.0,30:55,9.7,418,429,-0.8,-185,70
34,"
 Kaisa",29,12,21%,16,13,55%,4.7,8.3,31:49,9.0,493,447,-0.9,125,-64
35,"
 Varus",32,7,20%,16,16,50%,3.7,6.4,32:07,9.7,463,437,6.7,385,158
36,"
 Ashe",25,13,19%,13,12,52%,3.5,4.7,31:00,7.7,462,393,-1.2,-101,19
37,"
 Morgana",10,27,19%,8,2,80%,5.0,6.6,30:53,1.0,162,253,-,-,-
38,"
 Braum",31,6,19%,16,15,52%,3.1,6.8,30:15,1.0,139,229,0.4,-200,-67
39,"
 Sylas",17,20,19%,7,10,41%,2.1,8.2,30:39,7.2,491,375,-8.5,-121,58
40,"
 Lillia",23,13,18%,10,13,43%,3.0,5.1,30:45,6.6,415,353,-0.1,-288,-172
41,"
 Fiora",15,20,18%,6,9,40%,2.3,8.7,30:44,9.3,425,435,7.7,332,37
42,"
 Kindred",14,20,17%,5,9,36%,2.0,5.2,31:54,6.1,308,354,-8,-579,-305
43,"
 Zoe",16,18,17%,8,8,50%,4.1,7.1,31:22,7.6,551,378,5,-454,-277
44,"
 Galio",21,12,17%,10,11,48%,3.8,7.7,31:17,4.5,360,312,-14,-241,35
45,"
 Rumble",19,14,17%,12,7,63%,3.1,5.7,32:34,7.3,483,361,-8.1,-284,-192
46,"
 Ezreal",26,5,16%,12,14,46%,3.5,6.0,31:18,7.8,618,396,-4.3,-587,-281
47,"
 Jarvan IV",20,11,16%,10,10,50%,3.0,7.8,31:26,4.9,185,309,7.3,187,-37
48,"
 Nocturne",13,16,15%,5,8,38%,2.5,5.6,30:22,7.8,340,404,9,336,96
49,"
 Rakan",22,6,14%,9,13,41%,2.7,8.0,31:37,1.1,130,229,-2,-78,-182
50,"
 Samira",11,17,14%,6,5,55%,2.9,4.5,29:31,7.8,465,404,11.8,490,181
51,"
 Sett",21,6,14%,9,12,43%,2.5,6.5,30:31,5.0,409,336,1.8,290,18
52,"
 Caitlyn",13,12,13%,8,5,62%,6.9,6.4,30:30,9.1,483,446,-3,338,-145
53,"
 Kassadin",10,14,12%,4,6,40%,3.3,8.4,30:32,8.1,474,410,-4,-280,110
54,"
 Jax",6,17,12%,1,5,17%,2.3,8.4,33:53,8.4,338,417,-10.7,-267,0
55,"
 Malphite",11,11,11%,7,4,64%,3.3,8.4,32:10,6.6,346,334,-20.3,-738,-146
56,"
 Ekko",10,12,11%,4,6,40%,3.8,7.7,29:51,6.7,393,377,-15.2,214,235
57,"
 Taliyah",10,11,11%,6,4,60%,3.1,6.7,32:51,6.8,383,367,15.2,476,282
58,"
 Lissandra",10,10,10%,4,6,40%,2.1,7.6,35:46,8.3,460,378,5.3,-523,-134
59,"
 Skarner",4,16,10%,2,2,50%,7.3,2.6,29:02,6.3,232,385,-1.8,252,-69
60,"
 Volibear",14,6,10%,7,7,50%,4.0,8.5,29:57,6.7,397,371,1.1,194,-114
61,"
 Annie",4,15,10%,2,2,50%,3.6,3.3,32:26,5.6,366,320,4.8,-405,206
62,"
 Karthus",6,13,10%,3,3,50%,3.4,4.6,31:38,7.5,624,384,17.5,604,1085
63,"
 Evelynn",3,14,9%,1,2,33%,1.5,3.4,30:07,6.3,395,359,-7,-542,-283
64,"
 Alistar",10,6,8%,4,6,40%,2.5,7.8,29:52,1.0,152,230,-2.9,-96,-135
65,"
 Yasuo",8,8,8%,3,5,38%,2.8,7.5,31:42,8.4,353,410,3,-52,245
66,"
 Azir",9,7,8%,2,7,22%,3.3,5.9,31:27,9.1,637,447,14.3,937,398
67,"
 Kayle",6,8,7%,3,3,50%,2.9,8.0,32:37,9.0,565,437,-3,-199,127
68,"
 Jayce",7,5,6%,2,5,29%,2.5,7.4,32:08,8.4,572,414,6.2,286,-225
69,"
 KhaZix",6,6,6%,2,4,33%,2.7,4.7,33:40,5.6,304,335,-4.7,-301,-136
70,"
 Sion",10,2,6%,6,4,60%,3.4,8.5,31:06,6.6,371,340,-8.4,-665,-318
71,"
 Twisted Fate",5,7,6%,2,3,40%,2.9,7.1,32:02,7.9,424,414,-17,-460,-522
72,"
 Bard",5,7,6%,4,1,80%,7.3,4.9,28:15,1.3,278,252,-2.5,177,502
73,"
 Blitzcrank",5,5,5%,4,1,80%,4.3,4.8,34:51,1.0,164,255,1.6,280,-46
74,"
 Quinn",6,4,5%,5,1,83%,4.6,7.8,30:10,8.3,527,428,19,460,536
75,"
 Kennen",6,3,5%,3,3,50%,3.4,9.0,30:52,8.7,467,391,4.8,164,-380
76,"
 Aurelion Sol",2,7,5%,2,0,100%,6.8,5.4,33:33,7.9,493,400,-1,506,506
77,"
 Pyke",3,6,5%,1,2,33%,1.0,7.3,26:13,1.5,152,281,-3.5,-816,-650
78,"
 Lulu",5,3,4%,3,2,60%,4.2,8.0,30:18,3.9,205,293,7,-307,257
79,"
 Wukong",3,5,4%,2,1,67%,3.3,6.0,30:55,7.6,523,422,-14,-151,70
80,"
 Draven",5,2,4%,3,2,60%,3.1,4.0,30:56,8.7,500,458,8.6,992,-16
81,"
 Karma",6,1,4%,2,4,33%,2.8,7.0,30:13,4.4,308,286,6,607,-27
82,"
 Vayne",6,1,4%,1,5,17%,2.1,7.0,33:59,8.1,407,399,-0.2,-196,243
83,"
 Yuumi",4,2,3%,2,2,50%,7.4,2.5,31:58,0.4,291,225,-16.5,148,842
84,"
 Nunu",2,3,3%,1,1,50%,1.9,6.7,37:10,5.4,163,315,1.5,29,-251
85,"
 Tristana",5,0,3%,1,4,20%,1.5,-,30:19,8.6,385,403,14,645,644
86,"
 Heimerdinger",3,1,2%,1,2,33%,4.3,3.0,34:09,8.8,780,408,-8,-248,-871
87,"
 Jinx",4,0,2%,0,4,0%,1.0,-,31:05,9.6,420,385,-32,-1283,-1321
88,"
 Poppy",3,1,2%,1,2,33%,2.4,9.0,30:07,5.5,225,303,-16,-790,-884
89,"
 Sejuani",2,2,2%,0,2,0%,0.6,2.5,27:35,4.4,147,266,-15,-321,-1362
90,"
 Taric",2,2,2%,1,1,50%,4.4,7.5,28:09,1.0,79,232,1,-134,290
91,"
 Tryndamere",2,2,2%,1,1,50%,2.3,1.0,27:44,9.1,339,437,-49,-2047,-1403
92,"
 Yorick",3,1,2%,0,3,0%,0.6,8.0,28:52,8.7,457,399,23,1151,463
93,"
 VelKoz",3,1,2%,1,2,33%,4.4,8.0,30:06,7.9,427,391,-15.7,-576,-271
94,"
 Janna",2,1,2%,0,2,0%,1.1,7.0,27:28,1.4,123,239,-2,-355,-556
95,"
 Sivir",3,0,2%,2,1,67%,10.0,-,32:39,10.7,671,488,-13,-587,282
96,"
 Talon",0,3,2%,,,,,3.7,,,,,,,
97,"
 Ziggs",3,0,2%,0,3,0%,1.1,-,26:32,7.8,643,333,-6,-463,-468
98,"
 Kalista",2,1,2%,1,1,50%,2.3,9.0,30:13,9.1,392,430,-7,-2189,-569
99,"
 Ahri",0,2,1%,,,,,10.0,,,,,,,
100,"
 Corki",2,0,1%,0,2,0%,1.0,-,31:11,8.7,414,381,21.5,1178,-162
101,"
 Nasus",2,0,1%,1,1,50%,1.9,-,30:56,7.3,544,394,15,826,766
102,"
 Swain",2,0,1%,1,1,50%,2.4,-,28:16,6.9,446,378,5,334,-324
103,"
 Trundle",1,1,1%,0,1,0%,0.8,7.0,34:05,4.2,104,270,-8,248,-171
104,"
 Veigar",2,0,1%,0,2,0%,0.6,-,26:25,7.5,297,330,-20,-1822,-1930
105,"
 Zyra",1,1,1%,1,0,100%,6.3,3.0,31:05,0.6,456,304,-16,146,290
106,"
 Illaoi",1,1,1%,1,0,100%,4.3,4.0,36:35,6.6,579,422,-31,-1080,-715
107,"
 Kled",2,0,1%,1,1,50%,4.0,-,35:24,7.0,455,367,-,-,-
108,"
 Neeko",2,0,1%,0,2,0%,6.5,-,32:30,7.9,502,406,-15,-388,-282
109,"
 Aphelios",2,0,1%,0,2,0%,0.6,-,27:13,7.1,521,337,-20.5,-640,-974
110,"
 Yone",1,1,1%,0,1,0%,1.2,7.0,33:54,5.7,315,316,-45,-3731,-2836
111,"
 Brand",1,0,1%,0,1,0%,1.4,-,27:32,6.7,688,338,-43,-2538,-1956
112,"
 Chogath",1,0,1%,1,0,100%,3.7,-,32:25,8.7,380,435,45,1747,1883
113,"
 Darius",1,0,1%,1,0,100%,2.5,-,32:46,7.1,495,414,-,-,-
114,"
 Fizz",1,0,1%,0,1,0%,0.7,-,26:34,9.0,184,365,6,173,-167
115,"
 Maokai",1,0,1%,0,1,0%,0.7,-,33:54,1.0,373,228,5,396,-243
116,"
 Shyvana",0,1,1%,,,,,7.0,,,,,,,
117,"
 Viktor",1,0,1%,0,1,0%,0.4,-,27:29,9.5,426,346,9,-575,-441
118,"
 Xin Zhao",1,0,1%,1,0,100%,-,-,29:40,6.7,193,348,3,548,245
119,"
 Zed",0,1,1%,,,,,9.0,,,,,,,
120,"
 Kayn",1,0,1%,0,1,0%,1.0,-,33:00,7.3,436,329,-13,-287,-562
121,"
 Amumu",0,0,0%,,,,,-,,,,,,,
122,"
 Anivia",0,0,0%,,,,,-,,,,,,,
123,"
 Diana",0,0,0%,,,,,-,,,,,,,
124,"
 Dr. Mundo",0,0,0%,,,,,-,,,,,,,
125,"
 Fiddlesticks",0,0,0%,,,,,-,,,,,,,
126,"
 Garen",0,0,0%,,,,,-,,,,,,,
127,"
 Katarina",0,0,0%,,,,,-,,,,,,,
128,"
 KogMaw",0,0,0%,,,,,-,,,,,,,
129,"
 Lux",0,0,0%,,,,,-,,,,,,,
130,"
 Malzahar",0,0,0%,,,,,-,,,,,,,
131,"
 Master Yi",0,0,0%,,,,,-,,,,,,,
132,"
 Nami",0,0,0%,,,,,-,,,,,,,
133,"
 Rammus",0,0,0%,,,,,-,,,,,,,
134,"
 Rengar",0,0,0%,,,,,-,,,,,,,
135,"
 Riven",0,0,0%,,,,,-,,,,,,,
136,"
 Shaco",0,0,0%,,,,,-,,,,,,,
137,"
 Singed",0,0,0%,,,,,-,,,,,,,
138,"
 Sona",0,0,0%,,,,,-,,,,,,,
139,"
 Soraka",0,0,0%,,,,,-,,,,,,,
140,"
 Teemo",0,0,0%,,,,,-,,,,,,,
141,"
 Twitch",0,0,0%,,,,,-,,,,,,,
142,"
 Udyr",0,0,0%,,,,,-,,,,,,,
143,"
 Urgot",0,0,0%,,,,,-,,,,,,,
144,"
 Vi",0,0,0%,,,,,-,,,,,,,
145,"
 Warwick",0,0,0%,,,,,-,,,,,,,
146,"
 Xerath",0,0,0%,,,,,-,,,,,,,
147,"
 Zac",0,0,0%,,,,,-,,,,,,,
148,"
 Zilean",0,0,0%,,,,,-,,,,,,,
149,"
 Gnar",0,0,0%,,,,,-,,,,,,,
150,"
 Ivern",0,0,0%,,,,,-,,,,,,,
151,"
 Seraphine",0,0,0%,,,,,-,,,,,,,
152,"
 Rell",0,0,0%,,,,,-,,,,,,,
153,"
 Viego",0,0,0%,,,,,-,,,,,,,
154,"
 Gwen",0,0,0%,,,,,-,,,,,,,
155,"
 Akshan",0,0,0%,,,,,-,,,,,,,
156,"
 Vex",0,0,0%,,,,,-,,,,,,,
157,"
 Zeri",0,0,0%,,,,,-,,,,,,,
158,"
 Renata Glasc",0,0,0%,,,,,-,,,,,,,
159,"
 Belveth",0,0,0%,,,,,-,,,,,,,
160,"
 Nilah",0,0,0%,,,,,-,,,,,,,
